N,Size,Index,Date
0,493,0,2017-08-17 04:00:00
1,2861,493,2017-09-06 23:00:00
2,836,3354,2018-01-04 05:00:00
3,3280,4190,2018-02-09 10:00:00
4,25,7470,2018-06-26 12:00:00
5,155,7495,2018-06-27 14:00:00
6,2566,7650,2018-07-04 08:00:00
7,617,10216,2018-10-19 09:00:00
8,2825,10833,2018-11-14 09:00:00
9,1531,13658,2019-03-12 08:00:00
10,2197,15189,2019-05-15 13:00:00
11,2152,17386,2019-08-15 10:00:00
12,286,19538,2019-11-13 04:00:00
13,1822,19824,2019-11-25 04:00:00
14,249,21646,2020-02-09 03:00:00
15,329,21895,2020-02-19 17:00:00
16,1239,22224,2020-03-04 11:00:00
17,1534,23463,2020-04-25 04:00:00
18,3721,24997,2020-06-28 05:00:00
19,511,28718,2020-11-30 07:00:00
20,80,29229,2020-12-21 18:00:00
21,1153,29309,2020-12-25 03:00:00
22,549,30462,2021-02-11 05:00:00
23,1079,31011,2021-03-06 03:00:00
24,121,32090,2021-04-20 04:00:00
25,2634,32211,2021-04-25 08:00:00
26,1129,34845,2021-08-13 06:00:00
27,12988,35974,2021-09-29 09:00:00
28,4906,48962,2023-03-24 14:00:00
