N,Size,Index,Date
0,985,0,2017-08-17 04:00:00
1,4923,985,2017-09-06 23:00:00
2,796,5908,2017-12-18 13:30:00
3,1671,6704,2018-01-04 05:00:00
4,6560,8375,2018-02-09 10:00:00
5,50,14935,2018-06-26 12:00:00
6,308,14985,2018-06-27 14:30:00
7,5132,15293,2018-07-04 08:00:00
8,1233,20425,2018-10-19 09:30:00
9,5650,21658,2018-11-14 09:00:00
10,3062,27308,2019-03-12 08:00:00
11,1121,30370,2019-05-15 13:00:00
12,3272,31491,2019-06-07 22:00:00
13,4304,34763,2019-08-15 10:00:00
14,572,39067,2019-11-13 04:00:00
15,3644,39639,2019-11-25 04:00:00
16,498,43283,2020-02-09 03:00:00
17,656,43781,2020-02-19 17:30:00
18,2477,44437,2020-03-04 11:30:00
19,3067,46914,2020-04-25 04:30:00
20,7441,49981,2020-06-28 05:30:00
21,1022,57422,2020-11-30 07:00:00
22,160,58444,2020-12-21 18:00:00
23,2306,58604,2020-12-25 03:00:00
24,1098,60910,2021-02-11 05:00:00
25,2157,62008,2021-03-06 03:30:00
26,240,64165,2021-04-20 04:30:00
27,5267,64405,2021-04-25 08:30:00
28,2257,69672,2021-08-13 06:30:00
29,25976,71929,2021-09-29 09:00:00
30,9812,97905,2023-03-24 14:00:00
