"","Date","Start","End","Size","Filled"
"1",2017-08-17 04:00:00,0,29519,29520,422
"2",2017-09-06 23:02:00,29942,157079,127138,51
"3",2017-12-04 06:51:00,157131,177479,20349,16
"4",2017-12-18 10:16:00,177496,177628,133,67
"5",2017-12-18 13:36:00,177696,201539,23844,128
"6",2018-01-04 05:08:00,201668,251787,50120,2014
"7",2018-02-09 10:02:00,253802,254998,1197,18
"8",2018-02-10 06:17:00,255017,256319,1303,37
"9",2018-02-11 04:37:00,256357,450598,194242,603
"10",2018-06-26 12:02:00,451202,452698,1497,108
"11",2018-06-27 14:47:00,452807,462021,9215,460
"12",2018-07-04 08:02:00,462482,616438,153957,213
"13",2018-10-19 09:32:00,616652,653638,36987,423
"14",2018-11-14 09:02:00,654062,823558,169497,363
"15",2019-03-12 08:02:00,823922,915778,91857,603
"16",2019-05-15 13:02:00,916382,949992,33611,64
"17",2019-06-07 22:17:00,950057,1048198,98142,483
"18",2019-08-15 10:02:00,1048682,1177798,129117,143
"19",2019-11-13 04:22:00,1177942,1178008,67,6
"20",2019-11-13 05:35:00,1178015,1195078,17064,123
"21",2019-11-25 04:02:00,1195202,1304518,109317,63
"22",2020-02-09 03:02:00,1304582,1319494,14913,357
"23",2020-02-19 17:32:00,1319852,1339520,19669,131
"24",2020-03-04 11:32:00,1339652,1413958,74307,153
"25",2020-04-25 04:32:00,1414112,1506118,92007,213
"26",2020-06-28 05:32:00,1506332,1729558,223227,63
"27",2020-11-30 07:02:00,1729622,1760266,30645,255
"28",2020-12-21 18:02:00,1760522,1765318,4797,63
"29",2020-12-25 03:02:00,1765382,1834539,69158,82
"30",2021-02-11 05:02:00,1834622,1867558,32937,93
"31",2021-03-06 03:32:00,1867652,1932358,64707,153
"32",2021-04-20 04:32:00,1932512,1939679,7168,287
"33",2021-04-25 08:47:00,1939967,2097958,157992,273
"34",2021-08-13 06:32:00,2098232,2165938,67707,123
"35",2021-09-29 09:02:00,2166062,2945318,779257,83
"36",2023-03-24 14:02:00,2945402,3247779,302378,0
